cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
54 84 634 0 0 0 0 0 1.0002 0 0.9557 0.1072 0.2471 0.4266 2.402 0.8234 -0.0092 0.4296 0.5754 4.3138 0.0995 0.0995 0.4919 0 0
54 85 637 0 0 0 0 0 1.0008 0 0.9518 -0.0787 0.272 0.3608 2.2385 0.8083 -0.0815 0.4259 0.589 4.3762 -0.0441 0.0441 0.4973 0 0
54 86 613 0 0 0 0 0 1.0001 0 0.9528 0.1107 0.2434 0.3254 2.0875 0.7287 0.0373 0.4698 0.6495 4.0303 0.0613 0.0613 0.4293 0 0
54 87 652 0 0 0 0 0 1.001 0 0.9767 0.1075 0.2446 0.2867 1.957 0.7543 0.0225 0.4761 0.648 4.126 -0.0604 0.0604 0.4443 0 0
54 88 630 0 0 0 0 0 1.0005 0 0.9719 0.0429 0.1808 0.2104 1.6287 0.7139 0.0091 0.5094 0.7048 4.2324 -0.1321 0.1321 0.4404 0 0
54 89 615 0 0 0 0 0 1.0009 0 0.98 0.0765 0.1639 0.2303 2.4434 0.7908 0.0273 0.4311 0.5474 4.0619 -0.1995 0.1995 0.4469 0 0
54 90 502 0 0 0 0 0 1.0008 0 0.9703 0.0138 0.1901 0.2304 2.1816 0.6753 0.0237 0.4688 0.7022 4.0623 -0.055 0.055 0.4741 0 0
54 91 554 0 0 0 0 0 1.0003 0 0.9517 -0.0721 0.3728 0.4597 2.3359 0.8071 -0.0668 0.4606 0.6054 4.0784 0.0964 0.0964 0.4424 0 0
54 92 603 0 0 0 0 0 1.0008 0 0.9449 -0.1758 0.2366 0.3752 2.6281 0.7423 0.0259 0.509 0.7095 4.1187 0.1953 0.1953 0.4688 0 0
54 93 609 0 0 0 0 0 1.0004 0 0.9645 0.0226 0.3108 0.3835 2.4902 0.8039 -0.003 0.4461 0.629 4.1109 -0.1802 0.1802 0.4225 0 0
54 94 551 0 0 0 0 0 1.0004 0 0.9478 0.0132 0.2672 0.3754 2.0895 0.8158 -0.0247 0.4535 0.6042 4.0941 0.1522 0.1522 0.4143 0 0
54 95 620 0 0 0 0 0 1.001 0 0.9655 -0.0274 0.2415 0.3032 1.9677 0.8332 0.0649 0.4222 0.5533 4.1557 -0.0486 0.0486 0.413 0 0
54 96 604 0 0 0 0 0 1.0004 0 0.952 -0.1451 0.2224 0.2846 1.519 0.7499 -0.0618 0.4819 0.6671 4.0754 -0.0676 0.0676 0.4673 0 0
54 97 631 0 0 0 0 0 1.0006 0 0.9382 0.1327 0.3577 0.5268 2.8847 0.8105 0.0549 0.4689 0.6593 4.1391 -0.1449 0.1449 0.4311 0 0
54 98 604 0 0 0 0 0 1.0009 0 0.9832 0.0969 0.2232 0.2599 2.1467 0.788 -0.0162 0.4696 0.6311 4.354 -0.0626 0.0626 0.5227 0 0
54 99 539 0 0 0 0 0 1.0005 0 0.9538 0.0234 0.31 0.4052 1.9058 0.7828 -0.0164 0.4768 0.6398 4.0223 -0.1091 0.1091 0.4079 0 0
54 100 654 0 0 0 0 0 1.0009 0 0.8994 0.1198 0.4054 0.623 2.5324 0.818 0.0535 0.4288 0.5894 4.0848 -0.0287 0.0287 0.4221 0 0
54 101 611 0 0 0 0 0 1.0002 0 0.9638 0.0635 0.2226 0.3578 2.5496 0.7661 0.1008 0.4659 0.6437 4.037 -0.0247 0.0247 0.4439 0 0
54 102 602 0 0 0 0 0 1.0002 0 0.9664 -0.0687 0.2755 0.3485 2.5354 0.7514 0.0058 0.496 0.6899 4.1368 0.2124 0.2124 0.452 0 0
54 103 616 0 0 0 0 0 1.0001 0 0.9064 0.0507 0.4469 0.6384 2.7678 0.8031 -0.0228 0.4659 0.618 4.0216 0.0026 0.0026 0.4325 0 0
54 104 583 0 0 0 0 0 1.0007 0 0.9576 -0.0997 0.3137 0.3851 2.4735 0.7571 -0.0264 0.45 0.6135 4.0395 -0.1548 0.1548 0.4306 0 0
54 105 662 0 0 0 0 0 1.0015 0 0.969 -0.0441 0.2364 0.2939 2.4554 0.7753 -0.0058 0.4427 0.6426 4.0738 0.1419 0.1419 0.4318 0 0
54 106 625 0 0 0 0 0 1.0003 0 0.9618 0.0591 0.2332 0.2781 1.9752 0.8073 0.1166 0.4438 0.6111 4.0442 0.1026 0.1026 0.4326 0 0
54 107 602 0 0 0 0 0 1.001 0 0.9278 -0.1645 0.416 0.5665 2.6825 0.7728 -0.0943 0.4491 0.6147 4.1068 -0.0534 0.0534 0.4342 0 0
54 108 598 0 0 0 0 0 1.0002 0 0.9623 0.2304 0.2631 0.3433 1.9072 0.7349 0.1048 0.4503 0.6193 4.0319 -0.0375 0.0375 0.4181 0 0
54 109 506 0 0 0 0 0 1.0003 0 0.9611 -0.1852 0.2919 0.436 2.6957 0.7367 -0.1017 0.4773 0.6259 4.0336 0.1017 0.1017 0.4939 0 0
54 110 630 0 0 0 0 0 1.0011 0 0.9616 0.1195 0.2425 0.3466 1.9394 0.7729 0.067 0.4966 0.6973 4.1993 0.093 0.093 0.404 0 0
54 111 628 0 0 0 0 0 1.0002 0 0.9127 -0.0847 0.2536 0.3408 1.5754 0.8045 -0.013 0.4415 0.5825 4.0067 -0.0138 0.0138 0.4397 0 0
54 112 618 0 0 0 0 0 1.0001 0 0.9536 -0.0024 0.3184 0.468 2.3791 0.7924 -0.0358 0.5139 0.6984 4.0441 0.0905 0.0905 0.4146 0 0
54 113 551 0 0 0 0 0 1.0009 0 0.9744 0.0471 0.2477 0.3284 2.6258 0.7958 0.0276 0.47 0.6146 4.051 -0.0734 0.0734 0.4075 0 0
54 114 644 0 0 0 0 0 1.0013 0 0.9706 -0.1034 0.1908 0.2432 1.9213 0.788 -0.0915 0.4259 0.5923 4.1097 -0.0843 0.0843 0.4385 0 0
54 115 586 0 0 0 0 0 1.0006 0 0.9514 0.0916 0.2549 0.2958 1.6797 0.7378 -0.0079 0.4862 0.6504 4.1258 -0.0185 0.0185 0.4855 0 0
54 116 531 0 0 0 0 0 1.0005 0 0.9516 0.1747 0.3636 0.5441 2.9796 0.8076 0.0146 0.4479 0.5999 4.1588 0.1144 0.1144 0.4952 0 0
54 117 626 0 0 0 0 0 1.0002 0 0.9254 0.1825 0.3126 0.3963 1.8059 0.8503 0.0963 0.4056 0.5652 4.1433 0.1354 0.1354 0.4472 0 0
54 118 630 0 0 0 0 0 1.001 0 0.9555 0.0039 0.2579 0.4952 2.5736 0.7308 -0.063 0.4979 0.6905 4.0698 -0.076 0.076 0.4753 0 0
54 119 640 0 0 0 0 0 1.0005 0 0.9769 0.0478 0.2024 0.2763 2.0734 0.7546 -0.0166 0.4734 0.6545 4.0531 -0.096 0.096 0.4251 0 0
54 120 608 0 0 0 0 0 1.0004 0 0.9732 0.1278 0.2338 0.3143 2.0636 0.7701 0.0915 0.4863 0.6177 4.0767 0.1896 0.1896 0.4263 0 0
54 121 534 0 0 0 0 0 1.0023 0 0.9513 0.1476 0.2998 0.3745 2.2629 0.6974 0.0522 0.4856 0.66 4.2124 -0.0072 0.0072 0.5388 0 0
54 122 633 0 0 0 0 0 1.0002 0 0.9738 0.08 0.2379 0.3473 2.3699 0.8146 0.0627 0.4309 0.5627 4.1397 -0.059 0.059 0.5172 0 0
54 123 604 0 0 0 0 0 1.0002 0 0.9413 0.0397 0.2995 0.4618 2.2378 0.7416 -0.0226 0.484 0.7094 4.1452 -0.1593 0.1593 0.437 0 0
54 124 614 0 0 0 0 0 1.0002 0 0.951 0.0254 0.2957 0.4917 2.5216 0.7855 -0.0746 0.4561 0.5954 4.1393 0.0843 0.0843 0.434 0 0
54 125 476 0 0 0 0 0 1.0002 0 0.9705 -0.0358 0.2188 0.2879 2.4091 0.7835 -0.0173 0.4291 0.5986 4.0479 0.0616 0.0616 0.4149 0 0
54 126 611 0 0 0 0 0 1.0002 0 0.9369 0.0621 0.3318 0.4662 2.3514 0.7446 0.0044 0.4338 0.5876 4.2093 0.0527 0.0527 0.4442 0 0
54 127 572 0 0 0 0 0 1.0006 0 0.9514 0.0461 0.2605 0.3532 2.1406 0.72 -0.0281 0.5085 0.7121 4.1421 0.0092 0.0092 0.4901 0 0
54 128 578 0 0 0 0 0 1.0015 0 0.9684 -0.0345 0.2259 0.2848 1.8692 0.7409 -0.0945 0.5105 0.7113 4.1064 -0.0378 0.0378 0.449 0 0
54 129 558 0 0 0 0 0 1.0004 0 0.9635 -0.1343 0.2565 0.3236 2.0627 0.7852 -0.1166 0.4476 0.5876 4.0452 -0.1145 0.1145 0.4177 0 0
54 130 603 0 0 0 0 0 1.0005 0 0.9594 0.0558 0.2033 0.2587 1.4241 0.8069 -0.0484 0.4776 0.6551 4.0486 -0.1592 0.1592 0.4088 0 0
54 131 559 0 0 0 0 0 1.0002 0 0.9756 0.0042 0.267 0.3668 2.6438 0.7759 -0.1361 0.4717 0.6549 4.0275 0.0815 0.0815 0.4351 0 0
54 132 619 0 0 0 0 0 1.0005 0 0.9667 -0.0143 0.2517 0.318 2.3016 0.7547 -0.0088 0.466 0.6328 4.1266 0.2661 0.2661 0.4416 0 0
54 133 633 0 0 0 0 0 1.0028 0 0.9454 0.0216 0.3071 0.3647 1.6967 0.8266 0.0438 0.4187 0.5675 4.1652 -0.0997 0.0997 0.4824 0 0
54 134 625 0 0 0 0 0 1.0008 0 0.9829 0.0433 0.1579 0.2219 2.4989 0.8115 0.1693 0.436 0.6021 4.0944 0.0877 0.0877 0.4595 0 0
54 135 619 0 0 0 0 0 1.0002 0 0.9454 -0.2717 0.3233 0.5037 2.6659 0.7983 -0.1265 0.4659 0.6233 4.195 0.0054 0.0054 0.4962 0 0
54 136 650 0 0 0 0 0 1.0007 0 0.959 0.022 0.4015 0.5901 2.5002 0.7814 0.0715 0.4654 0.6342 4.03 0.1339 0.1339 0.4525 0 0
54 137 613 0 0 0 0 0 1.0003 0 0.9523 -0.0272 0.2738 0.3692 2.4691 0.7906 0.0434 0.4747 0.6454 4.1435 0.0095 0.0095 0.425 0 0
54 138 613 0 0 0 0 0 1.0002 0 0.9831 0.137 0.2119 0.2579 1.9669 0.7537 0.0341 0.4751 0.6463 4.1551 -0.0481 0.0481 0.5002 0 0
54 139 643 0 0 0 0 0 1.0005 0 0.951 0.02 0.2684 0.3823 2.6739 0.8063 -0.0843 0.4503 0.6194 4.0082 0.0126 0.0126 0.4193 0 0
54 140 592 0 0 0 0 0 1.0007 0 0.9576 0.0505 0.2665 0.3606 2.3532 0.7223 -0.0826 0.4976 0.6991 4.14 0.1437 0.1437 0.4754 0 0
54 141 614 0 0 0 0 0 1.0008 0 0.9657 -0.0428 0.1779 0.2215 1.5107 0.7999 0.0077 0.463 0.6387 4.0582 -0.1475 0.1475 0.4274 0 0
54 142 621 0 0 0 0 0 1.001 0 0.9686 -0.0065 0.2491 0.3314 1.9028 0.7828 -0.008 0.5015 0.6831 4.0814 0.1125 0.1125 0.4593 0 0
54 143 641 0 0 0 0 0 1.0005 0 0.9717 -0.0258 0.2145 0.2652 1.7996 0.8386 0.002 0.4246 0.5641 4.0573 0.0705 0.0705 0.4202 0 0
54 144 633 0 0 0 0 0 1.0008 0 0.9672 0.245 0.2794 0.34 1.8295 0.8206 0.1632 0.4445 0.561 4.0436 0.0833 0.0833 0.4252 0 0
54 145 599 0 0 0 0 0 1.0019 0 0.9659 -0.0237 0.2291 0.2791 2.2784 0.7851 -0.0418 0.4587 0.6229 4.074 -0.0729 0.0729 0.458 0 0
54 146 618 0 0 0 0 0 1.001 0 0.939 -0.1938 0.2756 0.4259 2.6146 0.8229 -0.1292 0.4228 0.5797 4.1808 0.0255 0.0255 0.5276 0 0
