cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
1 37 488 0 0 0 0 0 1.0032 0 0.9608 0.3024 0.3071 0.4074 0.9167 1.7167 0.8997 0.2924 0.4778 0.6004 0.96 2.4077 0.9894 0.1213 0.1816 0.2104 1 1.5634 -0.048 0.048 NA NA 1 0.5839 -0.1176 0.1176 -0.1176 0.8824 1 1.1532 -0.1398 0.1398 -0.1398 0.8602 1 1.1227 0 0
1 38 397 0 0 0 0 0 1.0021 0 0.9278 0.4565 0.4807 0.6587 0.8333 1.8053 0.8804 0.3267 0.5284 0.6628 0.89 2.319 0.9112 0.2042 0.2766 0.3901 0.9 1.4571 -0.2329 0.2329 NA NA 1 0.6667 -0.3286 0.3286 -0.3286 0.6714 1 0.9344 -0.3836 0.3836 -0.3836 0.6164 1 0.911 0 0
1 39 604 0 0 0 0 0 1.0022 0 0.9492 0.6456 0.699 0.7941 0.75 1.8287 0.8782 0.5049 0.6624 0.8184 0.81 2.2771 0.8783 0.5253 0.5264 0.6287 0.69 1.4724 -0.1279 0.1279 NA NA 1 0.8363 -0.5007 0.5007 -0.5007 0.4993 0 0.8091 -0.5296 0.5296 -0.5296 0.4704 0 0.7837 0 0
1 40 389 0 0 0 0 0 1.0019 0 0.9081 0.1713 0.4329 0.4927 0.9167 1.7648 0.8909 0.2608 0.5107 0.6504 0.93 2.3515 0.9743 0.1574 0.204 0.2458 1 1.4729 -0.1631 0.1631 NA NA 1 0.6363 -0.3073 0.3073 -0.3073 0.6927 1 0.9442 -0.3438 0.3438 -0.3438 0.6562 1 0.9178 0 0
1 41 374 0 0 0 0 0 1.0015 0 0.9424 0.0498 0.4834 0.5798 0.9167 1.8256 0.9067 0.0137 0.5341 0.6814 0.92 2.2541 0.9675 0.0585 0.1815 0.2194 1 1.4372 -0.2083 0.2083 NA NA 1 0.6821 -0.4427 0.4427 -0.4427 0.5573 1 0.8363 -0.4832 0.4832 -0.4832 0.5168 1 0.8056 0 0
1 42 367 0 0 0 0 0 1.0036 0 0.9123 -0.6641 0.7792 1.0239 0.6667 1.9319 0.8682 -0.3705 0.5943 0.7527 0.85 2.1274 0.9281 -0.4669 0.5147 0.641 0.64 1.4383 0.0171 0.0171 NA NA 1 0.8334 -0.6206 0.6206 -0.6206 0.3794 0 0.6936 -0.6368 0.6368 -0.6368 0.3632 0 0.66 0 0
1 43 442 0 0 0 0 0 1.0017 0 0.9368 -0.0078 0.4571 0.668 0.9167 1.9024 0.8744 -0.0199 0.4653 0.5907 0.93 2.3725 0.9704 -0.0287 0.2829 0.3143 1 1.5662 0.115 0.115 NA NA 1 0.6739 -0.2737 0.2737 -0.2737 0.7263 1 1.0313 -0.3064 0.3064 -0.3064 0.6936 1 0.9672 0 0
1 44 465 0 0 0 0 0 1.0076 0 0.9667 0.7342 0.7342 0.7643 0.8333 1.7773 0.8861 0.7421 0.8047 0.9481 0.86 2.714 0.9767 0.6647 0.6647 0.682 0.88 1.8785 0.0663 0.0663 NA NA 1 0.6843 0.2714 0.2714 0.2714 1.2714 1 1.7829 0.2212 0.2212 0.2212 1.2212 1 1.6771 0 0
1 45 372 0 0 0 0 0 1.0009 0 0.9153 0.0379 0.2244 0.2772 1 1.7195 0.9026 0.1244 0.4192 0.5414 0.97 2.4417 0.844 0.0119 0.2811 0.3822 0.95 1.5751 -0.0997 0.0997 NA NA 1 0.7101 -0.0504 0.0504 -0.0504 0.9496 1 1.2503 -0.0903 0.0903 -0.0903 0.9097 1 1.2247 0 0
1 46 712 0 0 0 0 0 1.0017 0 0.9228 0.0615 0.3082 0.3467 1 1.6825 0.9195 0.1148 0.4132 0.524 0.97 2.3079 0.9331 0.1781 0.2509 0.3241 1 1.5779 0.0898 0.0898 NA NA 1 0.6697 -0.29 0.29 -0.29 0.71 1 0.9833 -0.3188 0.3188 -0.3188 0.6812 1 0.9211 0 0
