"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF1" "ACF2" "ACF3" "racf" "lpacf" "mssd" "Item1" "Item2" "Item3" "Item1.1" "Item2.1" "Item3.1" "Item1.2" "Item2.2" "Item3.2" "Item1.3" "Item2.3" "Item3.3" "Item1.4" "Item2.4" "Item3.4" "Item1.5" "Item2.5" "Item3.5" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1006 "AR3" 0 0 0 0 0 0 0.352 0.478 0.813 0.274 0.633 0.677 0.702 0.803 0.829 0.669 0.803 0.684 0.669 0.825 0.583 0.467 0.607 0.516 0.564 0.458 0.518 0.788 0.499 0.927 0.283 0.369 0.263 0.942 0.917 0.9 0.784 0.459 0.992 0.531 0.52 0.482 0.633 0.453 0.209
1007 "TV-DPCM" 0 0 0 0 0 0 0.377 0.629 0.625 0.24 0.62 0.614 0.5 0.817 0.688 0.586 0.697 0.766 0.505 0.777 0.645 0.544 0.503 0.577 0.689 0.395 0.809 0.791 0.787 0.477 0.358 0.636 0.198 0.858 0.171 0.273 0.312 0.21 0.558 0.562 0.56 0.44 0.609 0.275 0.565
1007 "DPCM" 0 1 0 0 0 0 0.402 0.346 0.858 0.588 0.546 0.576 0.364 0.716 0.812 0.339 0.869 0.759 0.32 0.856 0.789 0.521 0.554 0.561 0.575 0.093 0.536 0.396 0.488 0.805 0.598 0.641 0.102 0.46 0.503 0.278 0.754 0.77 0.274 0.554 0.597 0.363 0.54 0.581 0.361
1007 "BiDim" 0 4 0 0 0 0 0.419 0.589 0.956 0.336 0.579 0.57 0.759 0.901 0.086 0.817 0.928 0.114 0.809 0.926 0.177 0.538 0.537 0.204 0.518 0.964 0.661 0.17 0.246 0.118 0.015 0.898 0.636 0.671 0.129 0.724 0.645 0.495 0.061 0.067 0.175 0.495 0.009 0.883 0.622
1007 "DRIFT" 0 0 0 0 0 0 0.385 0.601 0.431 0.213 0.63 0.635 0.479 0.942 0.556 0.708 0.838 0.753 0.608 0.952 0.781 0.55 0.342 0.661 0.177 0.182 0.347 0.261 0.753 0.292 0.132 0.863 0.161 0.58 0.823 0.495 0.151 0.733 0.16 0.478 0.458 0.45 0.592 0.514 0.704
1007 "GPCM" 0 0 0 0 0 0 0.283 0.73 0.551 0.161 0.698 0.693 0.523 0.271 0.989 0.632 0.36 0.992 0.639 0.454 0.985 0.576 0.338 0.645 0.119 0.275 0.672 0.661 0.202 0.716 0.9 0.015 0.186 0.347 0.925 0.449 0.583 0.801 0.853 0.23 0.137 0.46 0.814 0.793 0.659
1007 "AR3" 0 0 0 0 0 0 0.403 0.593 0.742 0.252 0.573 0.606 0.858 0.834 0.745 0.812 0.782 0.673 0.803 0.811 0.786 0.698 0.64 0.446 0.752 0.837 0.255 0.579 0.353 0.487 0.296 0.26 0.302 0.74 0.383 0.419 0.359 0.588 0.093 0.464 0.507 0.521 0.336 0.639 0.686
1008 "TV-DPCM" 0 0 0 0 0 0 0.415 0.716 0.481 0.22 0.556 0.574 0.707 0.535 0.766 0.714 0.6 0.76 0.692 0.619 0.823 0.521 0.59 0.493 0.285 0.427 0.385 0.328 0.267 0.539 0.647 0.193 0.43 0.318 0.559 0.816 0.616 0.746 0.69 0.559 0.519 0.584 0.628 0.412 0.704
1008 "DPCM" 0 0 0 0 0 0 0.318 0.646 0.656 0.222 0.635 0.669 0.863 0.575 0.583 0.906 0.695 0.658 0.928 0.656 0.583 0.646 0.525 0.622 0.344 0.526 0.226 0.582 0.9 0.428 0.148 0.263 0.609 0.066 0.778 0.27 0.867 0.783 0.838 0.502 0.504 0.564 0.581 0.486 0.384
1008 "BiDim" 0 2 0 0 0 0 0.727 0.536 0.453 0.505 0.35 0.286 0.91 0.647 0.06 0.876 0.659 0.029 0.822 0.58 0.055 0.473 0.49 0.291 0.725 0.45 0.208 0.441 0.45 0.155 0.004 0.806 0.917 0.897 0.303 0.271 0.278 0.291 0.483 0.027 0.472 0.182 0.834 0.285 0.667
1008 "DRIFT" 0 0 0 0 0 0 0.434 0.848 0.458 0.075 0.622 0.549 0.756 0.597 0.432 0.523 0.55 0.673 0.718 0.536 0.407 0.632 0.272 0.53 0.573 0.381 0.8 0.756 0.613 0.454 0.14 0.463 0.633 0.647 0.678 0.015 0.126 0.93 0.494 0.512 0.564 0.537 0.669 0.779 0.403
