cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
13 101 358 0 0 0 0 0 1.0003 0 0.9481 0.0188 0.2566 0.3189 2.0723 0.9053 -0.0159 0.3409 0.4275 2.4508 0.0243 0.0243 0.4591 0 0
13 102 383 0 0 0 0 0 1.0005 0 0.9171 0.2194 0.4274 0.565 2.5476 0.9254 0.1506 0.3397 0.4121 2.1311 -0.0743 0.0743 0.4828 0 0
13 103 395 1 0 0 0 0 1.0008 0 0.9366 0.4223 0.4793 0.557 2.5444 0.9178 0.323 0.4181 0.5094 2.3126 0.0771 0.0771 0.4931 1 0
13 104 375 0 0 0 0 0 1.0004 0 0.8553 -0.2763 0.4595 0.6994 2.819 0.9359 -0.1696 0.344 0.4251 2.3737 0.0285 0.0285 0.4719 0 0
13 105 275 0 0 0 0 0 1.0003 0 0.9489 -0.0403 0.312 0.4493 3.0229 0.869 -0.0566 0.3332 0.4263 2.3107 -0.1737 0.1737 0.5492 0 0
13 106 402 0 0 0 0 0 1.0001 0 0.9539 -0.0483 0.2422 0.3076 2.2844 0.9185 -0.0101 0.3067 0.3822 2.2086 0.0294 0.0294 0.4845 0 0
13 107 369 0 0 0 0 0 1.0002 0 0.9225 -0.1677 0.3847 0.5877 2.6268 0.9109 0.0046 0.3784 0.4593 2.2136 -0.0698 0.0698 0.4936 0 0
13 108 388 1 0 0 0 0 1.0002 0 0.9314 -0.0896 0.3229 0.4259 2.6522 0.927 -0.05 0.2754 0.3451 2.7749 0.0675 0.0675 0.5177 1 0
13 109 329 0 0 0 0 0 1.0002 0 0.9686 0.0754 0.3494 0.4607 2.7182 0.8865 0.0384 0.3567 0.4575 2.3094 -0.0507 0.0507 0.52 0 0
13 110 345 0 0 0 0 0 1.0002 0 0.9146 0.1953 0.3472 0.4524 2.0602 0.9085 0.0919 0.3798 0.4769 2.4242 -0.1185 0.1185 0.4703 0 0
