cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
36 82 1206 0 0 0 0 0 1.001 0 0.8827 0.0375 0.2058 0.2545 1.5325 0.9738 -0.0223 0.1865 0.2291 2.3975 0.6059 -0.0307 0.7028 0.8841 4.1962 -0.004 0.004 0.5005 0 0
36 83 1631 0 0 0 0 0 1.0036 0 0.9685 -0.1399 0.1399 0.1491 1.3141 0.9954 -0.053 0.3012 0.3782 4.6233 0.61 -0.0351 0.649 0.8158 4.1311 -0.1297 0.1297 0.5129 0 0
36 84 1231 0 0 0 0 0 1.0007 0 0.9968 0.1002 0.1905 0.2412 1.2942 0.9915 0.0805 0.1831 0.2138 2.3333 0.5843 -0.0279 0.6266 0.821 4.0827 -0.068 0.068 0.4163 0 0
36 85 1224 0 0 0 0 0 1.0031 0 0.926 -0.137 0.137 0.1802 1.389 0.9297 0.3802 0.6945 0.833 10.3483 0.472 0.0151 0.711 0.8831 4.2107 -0.1509 0.1509 0.6945 0 0
36 86 1187 0 0 0 0 0 1.0008 0 0.9883 -0.03 0.1026 0.1231 0.9013 0.9849 0.0368 0.1581 0.1816 1.8332 0.6347 0.0306 0.6517 0.8494 4.1509 0.0491 0.0491 0.3788 0 0
36 87 1246 0 0 0 0 0 1.0045 0 -0.4597 0.0012 0.2619 0.2832 1.5635 0.9892 0.0524 0.1853 0.2359 3.3707 0.6039 -0.1696 0.7048 0.875 4.3029 0.101 0.101 0.4137 0 0
36 88 1233 0 0 0 0 0 1.0011 0 0.9938 -0.0552 0.0552 0.0636 1.3272 0.9975 -0.2029 0.2318 0.2943 2.9849 0.5464 -0.0874 0.6875 0.8604 4.0721 -0.2295 0.2295 0.5461 0 0
36 89 1205 0 0 0 0 0 1.0007 0 0.7962 0.0727 0.2578 0.3028 1.3608 0.9795 -0.0782 0.1891 0.2909 2.5507 0.6884 0.035 0.5927 0.7633 4.0316 -0.0824 0.0824 0.3343 0 0
36 90 1262 0 0 0 0 0 1.0004 0 0.9137 -0.1672 0.1765 0.2705 0.8979 0.9982 0.1765 0.1811 0.2048 1.6566 0.7073 0.0452 0.5733 0.7423 4.083 0.0452 0.0452 0.3448 0 0
36 91 1278 0 0 0 0 0 1.0004 0 0.2292 -0.0248 0.0979 0.1196 1.0333 0.9966 0.0259 0.128 0.1788 2.3656 0.6154 0.0404 0.6395 0.7984 4.0874 -0.2204 0.2204 0.4205 0 0
